Skill,Turkce_Skill
Major Gift Solicitations,Büyük Bağış Talepleri
Major Gift Cultivation,Büyük Bağış Yetiştirme
Major Events,Büyük Etkinlikler
Major Donors,Büyük Bağışçılar
Major Donor Cultivation,Büyük Bağışçı Yetiştirme
Major Bids,Büyük Teklifler
Major Accounts,Büyük Hesaplar
Major Account Development,Büyük Hesap Gelişimi
IDIQ,IDIQ
Matlab,Matlab
Mathematics Education,Matematik Eğitimi
Mathematical Modeling,Matematiksel Modelleme
Mathematical Analysis,Matematiksel Analiz
Mathcad,Mathcad
MathCAD,MathCAD
Maternal Fetal Medicine,Anne ve Fetal Tıbbı
Materials Science,Malzeme Bilimi
Materialized Views,Malzeme Görünümleri
Material Take Off,Malzeme Alımı
Material Selection,Malzeme Seçimi
Material Review Board (MRB),Malzeme İnceleme Kurulu (MIK)
Material Handling,Malzeme Taşıma
Material Characterization,Malzeme Karakterizasyonu
Mastering,Ustalık
Master Scuba Diver,Usta Dalışçı
Master Scheduling,Ustalık Programlaması
Master Peace Officer,Usta Barış Görevlisi
Master Gardener,Usta Bahçıvan
Master Data,Usta Veri
Master Colorist,Usta Renkçi
Mass Spectrometry,Kütle Spektrometrisi
Mass Hiring,Toplu İşe Alma
Mass Email Marketing,Toplu E-posta Pazarlaması
Masonry,Duvarcılık
Mas 90,Mas 90
Marketing Strategy,Pazarlama Stratejisi
Marketing Research,Pazarlama Araştırması
Marketing Mix Modeling,Pazarlama Karışımı Modellemesi
Marketing Mix,Pazarlama Karışımı
Marketing Management,Pazarlama Yönetimi
Marketing Budget Management,Pazarlama Bütçe Yönetimi
Marketing Automation,Pazarlama Otomasyonu
Market Updates,Pazar Güncellemeleri
Market Sizing,Pazar Büyüklüğü
Market Risk,Pazar Riski
Market Research,Pazar Araştırması
Market Penetration,Pazar Geçişi
Market Needs Analysis,Pazar İhtiyaç Analizi
Market Making,Pazar Yapıcılığı
Market Knowledge,Pazar Bilgisi
Market Entry,Pazar Girişi
Market Analysis,Pazar Analizi
Market Access,Pazar Erişimi
Marker Rendering,İşaret İşleme
Maritime Operations,Deniz Operasyonları
Maritime Domain Awareness,Deniz Alan Bilinci
Marine Protected Areas,Korunan Deniz Alanları
Marine Mammals,Deniz Memelileri
Marine Biology,Deniz Biyolojisi
ICU,Yoğun Bakım Ünitesi (YBÜ)
Voice Therapy,Ses Terapisi
Medical Necessity,Tıbbi Gereklilik
Medical Massage,Tıbbi Masaj
Medical Malpractice,Tıbbi Kötüye Kullanım
Medical Imaging,Tıbbi Görüntüleme
Medical Ethics,Tıbbi Etik
Medical Diagnostics,Tıbbi Teşhis
Medical Devices,Tıbbi Cihazlar
Medical Billing,Tıbbi Faturalandırma
Medical Aid,Tıbbi Yardım
Medical Affairs,Tıbbi İşler
Media TV,Medya TV
Media Production,Medya Üretimi
Media Planning,Medya Planlaması
Media Monitoring,Medya İzleme
Media List Building,Medya Listesi Oluşturma
Media Kit Development,Medya Kiti Geliştirme
Media Gateways,Media Gateways
Media Duplication,Medya Çoğaltma
Media Coverage,Medya Kapsamı
Mechatronics,Mekatronik
Mechanics Liens,Mekanik Bağlantılar
"Mechanical, Electrical, and Plumbing (MEP)","Mekanik, Elektrik ve Sıhhi Tesisat (MEP)"
Mechanical Ventilation,Mekanik Havalandırma
Mechanical Troubleshooting,Mekanik Sorun Giderme
Mechanical Systems,Mekanik Sistemler
Mechanical Inspection,Mekanik Muayene
Mechanical Engineering,Makine Mühendisliği
Mechanical Analysis,Mekanik Analiz
Meat Processing,Et İşleme
Meat,Et
Measurements,Ölçümler
Measurement Tools,Ölçüm Araçları
SCADA,SCADA
Meals,Öğünler
McKesson STAR,McKesson STAR
McData,McData
McAfee Antivirus,McAfee Antivirüs
McAfee,McAfee
MbUnit,MbUnit
Mazut,Mazut
Mazda,Mazda
Maya Dynamics,Maya Dynamics
Maya,Maya
Maxwell Render,Maxwell Render
Maxwell,Maxwell
Maximo,Maximo
MaxL,MaxL
MaxHire,MaxHire
MaxDiff,MaxDiff
MaxDB,MaxDB
Maverick,Maverick
Licensed Practical Nurse (LPN),Lisanslı Uygulamalı Hemşire (LPN)
Merchant Acquiring,Merchant Acquiring
Merchandising Strategies,Satış Stratejileri
Merchandising,Satış
Menu Engineering,Menü Mühendisliği
Menu Development,Menü Geliştirme
Menu Costing,Menü Maliyeti
Mentoring,Mentorluk
Mental Health Treatment,Ruh Sağlığı Tedavisi
Mental Health First Aid,İlk Ruh Sağlığı Yardımı
Mental Health Counseling,Ruh Sağlığı Danışmanlığı
Mental Health,Ruh Sağlığı
Mens Cuts,Erkek Kesimleri
Memos,Muhtıralar
Memorization,Ezberleme
Memorial Services,Anma Hizmetleri
Memoir,Anı
Memcached,Memcached
Membrane Bioreactors (MBR),Membran Biyoreaktörler (MBR)
Membrane,Membran
Membership Management,Üyelik Yönetimi
Membership Development,Üyelik Geliştirme
Membership,Üyelik
Member of Toastmasters,Toastmasters Üyesi
Member of IEEE,IEEE Üyesi
Member of AICPA,AICPA Üyesi
Member Relations,Üye İlişkileri
Meltwater,Meltwater
Melodyne,Melodyne
Melodies,Melodiler
MelScript,MelScript
MegaStat,MegaStat
MeetingPlace,MeetingPlace
Meeting Planning,Toplantı Planlaması
MeeGo,MeeGo
Mediterranean Cuisine,Akdeniz Mutfağı
Medicine,Tıp
Medication Therapy Management,İlaç Tedavisi Yönetimi
Medication Errors,İlaç Hataları
Medication Adherence,İlaç Uyumu
Medicare/Medicaid Reimbursement,Medicare/Medicaid Geri Ödeme
Metabolic Typing,Metabolik Tipleme
Medicare Part D,Medicare Part D
Medical-Surgical,Tıp-Cerrahi
Medical Writing,Tıbbi Yazı
Medical Underwriting,Tıbbi Risk Değerlendirmesi
Medical Ultrasound,Tıbbi Ultrason
Medical Tourism,Tıbbi Turizm
Medical Records,Tıbbi Kayıtlar
Medical Practice Management,Tıbbi Uygulama Yönetimi
Medical Physics,Tıbbi Fizik
Liasoning,Bağlantı Kurma
Microsoft Foundation Class (MFC),Microsoft Foundation Class (MFC)
Microsoft Exchange,Microsoft Exchange
Microsoft Excel,Microsoft Excel
Microsoft Dynamics NAV,Microsoft Dynamics NAV
Microsoft Dynamics GP,Microsoft Dynamics GP
Microsoft Dynamics ERP,Microsoft Dynamics ERP
Microsoft Dynamics CRM,Microsoft Dynamics CRM
Microsoft Dynamics,Microsoft Dynamics
Microsoft DNS,Microsoft DNS
Microsoft Cognitive Toolkit (CNTK),Microsoft Cognitive Toolkit (CNTK)
Microsoft Cluster,Microsoft Cluster
Microsoft Certified Technology,Microsoft Sertifikalı Teknoloji
Microsoft Certified Professional,Microsoft Sertifikalı Profesyonel
Microsoft CRM,Microsoft CRM
Microsoft BI Suite,Microsoft BI Suite
Microsoft Azure,Microsoft Azure
Microsoft Access,Microsoft Access
Microscopy,Mikroskobi
Microphone Arrays,Mikrofon Dizileri
Microchip PIC,Microchip PIC
Microbial Genetics,Mikrobiyal Genetik
MicroStation,MicroStation
MiFID,MiFID
Mezzanine Floors,Asat Katlar
Mezzanine,Asat
Mexican Cuisine,Meksika Mutfağı
Metro,Metro
Method Development,Yöntem Geliştirme
Meteorology,Meteoroloji
Metals,Metaller
Metallurgy,Metalurji
Metal Roofing,Metal Çatı
Metal Fabrication,Metal İşleme
Metal Cutting,Metal Kesme
Metadata,Meta Veri
Metabolic Syndrome,Metabolik Sendrom
MetaTrader,MetaTrader
Message Queue,Mesaj Kuyruğu
Message Development,Mesaj Geliştirme
Message Broker,Mesaj Broker
Mesotherapy,Mezoterapi
Mesh,Kafes
Merlin,Merlin
Merise,Merise
Mergers &amp; Acquisitions,Mergers &amp; Acquisitions
Merger Control,Birleşme Kontrolü
Mercury QuickTest Pro,Mercury QuickTest Pro
Mercury ITG,Mercury ITG
Mercurial,Mercurial
Merchant Card Processing,Merchant Card Processing
Lexical Semantics,Sözcüksel Anlam
Mineral Rights,Mineral Hakları
Mineral Processing,Mineral İşleme
Mindfulness Meditation,Farkındalık Meditasyonu
Mindfulness Based Stress Reduction,Farkındalık Tabanlı Stres Azaltma
Mindfulness,Farkındalık
Mind-Body Medicine,Zihin-Beden Tıbbı
Mincom Ellipse,Mincom Ellipse
Mimics,Mimics
Mimicry,Taklitçilik
Mimic,Mimik
Millwork,Ahşap İşleri
Milling,Frezeleme
Miller Heiman Sales Training,Miller Heiman Satış Eğitimi
Miller Heiman,Miller Heiman
Millenium,Millenium
Military Weapons Handling,Askeri Silah Kullanımı
Military Vehicles,Askeri Araçlar
Military Training,Askeri Eğitim
Military Tactics,Askeri Taktikler
Military Logistics,Askeri Lojistik
Military Leadership,Askeri Liderlik
Military Justice,Askeri Adalet
Military Experience,Askeri Deneyim
Military Decision Making Process,Askeri Karar Verme Süreci
Military Aviation,Askeri Havacılık
Mikrotik,Mikrotik
MikroC,MikroC
Migration Projects,Göç Projeleri
Migraine,Migren
Midwifery,Ebelik
Midstream,Orta Akım
Middle School,Ortaokul
Middle Market,Orta Pazar
Middle Management,Orta Yönetim
Middle Eastern history,Orta Doğu Tarihi
Middle Eastern Studies,Orta Doğu Çalışmaları
Midas Plus,Midas Plus
Midas,Midas
Microwave,Mikro dalga
Microsoft Word,Microsoft Word
SCBA,SCBA
Microsoft Test Manager (MTM),Microsoft Test Manager (MTM)
Microsoft Technologies,Microsoft Teknolojileri
Microsoft SQL Server,Microsoft SQL Server
Microsoft QuickBASIC (QB),Microsoft QuickBASIC (QB)
Microsoft Publisher,Microsoft Publisher
Microsoft Project,Microsoft Project
Microsoft Products,Microsoft Ürünleri
Microsoft Picture Manager,Microsoft Picture Manager
Microsoft Outlook,Microsoft Outlook
Lex,Lex
Mobile Testing,Mobil Test
Mobile Technology,Mobil Teknoloji
Mobile TV,Mobil TV
Mobile Robotics,Mobil Robotik
Mobile Payments,Mobil Ödeme
Mobile Marketing,Mobil Pazarlama
Mobile Learning,Mobil Öğrenme
Mobile Internet,Mobil İnternet
Mobile Hydraulics,Mobil Hidrolik
Mobile Health,Mobil Sağlık
Mobile Games,Mobil Oyunlar
Mobile Devices,Mobil Cihazlar
Mobile Design,Mobil Tasarım
Mobile Content,Mobil İçerik
Mobile Communications,Mobil İletişim
Mobile Commerce,Mobil Ticaret
MoSes,MoSes
MoCA,MoCA
Mixer,Karıştırıcı
Mixed-use,Karma Kullanım
Mixed-Signal IC Design,Karma Sinyal Entegre Devre Tasarımı
Mixed Signal,Karma Sinyal
Mixed Model,Karma Model
Mixed Media,Karma Medya
Mixcraft,Mixcraft
Miva,Miva
Mitochondria,Mitokondri
Mitigation Strategies,Mitigasyon Stratejileri
Mitigation Banking,Mitigasyon Bankacılığı
Mitel 3300,Mitel 3300
Mitel,Mitel
Mitek,Mitek
Mist Netting,Sis Ağları
Missions,Görevler
Mission Work,Görev Çalışması
Mission Oriented,Görev Odaklı
Mission Critical Facilities,Kritik Görev Tesisleri
Mission Critical,Kritik Görev
Mission Commander,Görev Komutanı
Mission Assurance,Görev Garantisi
Missiology,Missioloji
Missile Defense,Füze Savunması
Mirth,Mirth
Mirrors,Aynalar
MirrorView,MirrorView
Minitab,Minitab
Ministry Of Defence,Savunma Bakanlığı
Ministry Development,Bakanlık Gelişimi
Mining Engineering,Maden Mühendisliği
Mining,Madencilik
Mineralogy,Mineraloji
Mineral Sands,Mineral Kumları
Morale,Moral
Moot Court,Tartışma Mahkemesi
Moose,Moose
Mooring Analysis,Bağlama Analizi
Moodle,Moodle
Monthly Closing,Aylık Kapanış
Monthly Close Process,Aylık Kapanış Süreci
Monthly Close,Aylık Kapanış
Monte Carlo Simulation,Monte Carlo Simülasyonu
Monitor Mixing,Monitör Karıştırma
Mongoose ODM,Mongoose ODM
Money Market,Para Pazarı
Monetization,Para Kazanma
Moms,Anneler
Momentum Trading,Momentum Ticareti
Momentis,Momentis
Molecular Virology,Moleküler Virolog
Molecular Pharmacology,Moleküler Farmakoloji
Molecular Microbiology,Moleküler Mikrobiyoloji
Molecular Imaging,Moleküler Görüntüleme
Molecular Genetics,Moleküler Genetik
Molecular Evolution,Moleküler Evrim
Molecular Dynamics,Moleküler Dinamik
Molecular Diagnostics,Moleküler Teşhis
Molecular Cytogenetics,Moleküler Sitogenetik
Molecular Beam Epitaxy,Moleküler Işın Epitaksisi
Molecular &amp; Cellular Biology,Molecular &amp; Cellular Biology
Molding,Kalıplama
Moldflow,Moldflow
Mold Inspections,Kalıp Muayeneleri
Mold,Küf
Mojo,Mojo
Mohs Surgery,Mohs Cerrahisi
Modular Messaging,Modüler Mesajlaşma
Modified Barium Swallow Study (MBSS),Modifiye Baryum Yutma Çalışması (MBSS)
Modern Hebrew,Modern İbranice
Modern Furniture,Modern Mobilya
Modern Dance,Modern Dans
Modern Art,Modern Sanat
ModelSim,ModelSim
Model-view-viewmodel (MVVM),Model-Görünüm-GörünümModeli (MVVM)
Model-View-Presenter (MVP),Model-Görünüm-Sunumcu (MVP)
Model-View-Controller (MVC),Model-Görünüm-Denetleyici (MVC)
Model United Nations,Birleşmiş Milletler Modeli
Model Making,Model Yapımı
Modbus,Modbus
Mockito,Mockito
Mock Interviews,Alıştırma Mülakatları
Mocha,Mocha
Mobile Web Design,Mobil Web Tasarımı
Mobile VoIP,Mobil VoIP
Letters to the Editor,Editöre Mektuplar
Multi-Channel Marketing,Çok Kanalı Pazarlama
Multi Router Traffic Grapher (MRTG),Çoklu Yönlendirici Trafik Grafiği (MRTG)
Mule ESB,Mule ESB
Mugs,Fincanlar
Muffins,Kekler
Muda,Muda
Mucosal Immunology,Mukozal Bağışıklık Bilimi
Muay Thai,Muay Thai
Mplus,Mplus
Mozilla,Mozilla
Mozart,Mozart
Moxa,Moxa
Mowing,Çim Biçme
Moving Lights,Hareketli Işıklar
Moving Averages,Hareketli Ortalamalar
Movie Magic Budgeting,Movie Magic Bütçeleme
Movie Magic,Movie Magic
Movex,Movex
Movers,Taşıyıcılar
Movement Disorders,Hareket Bozuklukları
Move Up Buyers,Move Up Alıcıları
Mouse Models,Fare Modelleri
Mouse Handling,Fare Kullanımı
Mouse,Fare
Mountaineering,Dağcılık
Mountain Rescue,Dağ Kurtarma
Mountain Leader,Dağ Lideri
Mountain Biking,Dağ Bisikleti
Mould Design,Kalıp Tasarımı
Motorsports,Motor Sporları
Motorcycle,Motosiklet
Motor Vehicle,Motorlu Araç
Motor Fleet,Motor Filosu
Motor Control,Motor Kontrolü
Motivational Interviewing,Motive Edici Görüşme
Motions,Hareketler
Motion Graphics,Hareket Grafikleri
Motion Graphic Design,Hareket Grafik Tasarımı
Motion Control,Hareket Kontrolü
Motion Capture,Hareket Yakalama
Mosquito Control,Sivrisinek Kontrolü
Mosaiq,Mosaiq
Mortgage-Backed Securities (MBS),İpotekli Menkul Kıymetler
NAS,NAS
Mortgage Underwriting,İpotek Değerlemesi
Mortgage Servicing,İpotek Hizmeti
Mortgage Lending,İpotek Kredi Verme
Mortgage Fraud,İpotek Dolandırıcılığı
Mortgage Brokers,İpotek Aracıları
Mortgage Banking,İpotek Bankacılığı
Morphology,Morfoloji
Morningstar,Morningstar
Leonardo Spectrum,Leonardo Spectrum
Music Management,Müzik Yönetimi
Music Lover,Müzik Sever
Music Licensing,Müzik Lisanslama
Music Industry,Müzik Endüstrisi
Music History,Müzik Tarihi
Music Festivals,Müzik Festivalleri
Music,Müzik
Museums,Müzeler
Museum Education,Müze Eğitimi
Museum Collections,Müze Koleksiyonları
Musculoskeletal Physiotherapy,Kas-İskelet Fizyoterapisi
Musculoskeletal,Kas-İskelet
Muscle Tone,Kas Tonusu
Murals,Duvar Resimleri
Munitions,Mühimmat
Munis,Munis
Munin,Munin
Municipal Services,Belediye Hizmetleri
Municipal Politics,Yerel Siyaset
Municipal Law,Belediye Hukuku
Municipal Bonds,Belediye Tahvilleri
Multivariate Statistics,Çok Değişkenli İstatistikler
Multivariate Analysis,Çok Değişkenli Analiz
Multithreading,Çoklu İş Parçacığı
Multitasking,Çoklu Görev
Multiplex PCR,Çoklu PCR
Multiple Project Coordination,Çoklu Proje Koordinasyonu
Multiple Listing Service,Çoklu Listeleme Hizmeti
Multiplayer,Çok Oyuncusu
NASCAR,NASCAR
Multimeter,Multimetre
Multimedia Fusion,Multimedia Fusion
Multilingual NLP,Çokdilli NLP
Multilingual,Çokdilli
Multicast,Çoklu Yayın
MultiDimensional eXpressions (MDX),MultiDimensional eXpressions (MDX)
Multi-task & Handle High-volume Workloads,Çoklu Görev ve Yüksek Hacimli İş Yüklerini Yönetme
Multi-state Payroll Processing,Çok Eyaletli Bordro İşlemleri
Multi-rater Feedback,Çok Değerlendiricili Geri Bildirim
Multi-million Dollar Budgets,Çok Milyon Dolarlık Bütçeler
Multi-line Phone,Çok Hatlı Telefon
Multi-level Marketing,Çok Seviyeli Pazarlama
Multi-engine,Çok Motorlu
Multi-color Flow Cytometry,Çok Renkli Akış Sitometrisi
Multi-channel Retail,Çok Kanalı Perakende
SCCP,SCCP
Multi-body Dynamics,Çok Gövde Dinamiği
Multi-agent Systems,Çok Ajanlı Sistemler
Multi-Unit,Çok Ünite
Multi-State Sales Tax,Çok Eyaletli Satış Vergisi
Leica Cyclone,Leica Cyclone
NCP,NCP
NCOA,NCOA
NCMA,NCMA
NCLB,NCLB
NCIDQ,NCIDQ
NCIC,NCIC
NCFM,NCFM
NCEs,NCEs
NCBI,NCBI
NCARB,NCARB
NC-Verilog,NC-Verilog
NBFC,NBFC
NBAR,NBAR
NBAP,NBAP
NAV,NAV
NATO,NATO
NAT,NAT
NASGRO,NASGRO
NASD,NASD
NAP,NAP
NAMD,NAMD
NALS,NALS
NAFTA,NAFTA
NAF,NAF
NAEYC Accreditation,NAEYC Akreditasyonu
NADCAP,NADCAP
NACHA,NACHA
NACE,NACE
NABH,NABH
NABERS,NABERS
NABCEP Certified,NABCEP Sertifikalı
N-tier,N-tier
N-Able,N-Able
N+,N+
Mystery Shopping,Gizli Alışveriş
Mystery,Gizem
Mysis,Mysis
Myriad,Myriad
Myotherapy,Miyoterapi
Myofascial,Miyofasiyal
Myocardial Infarction,Miyokardiyal Enfarktüs
Mycotoxins,Mikotoksinler
Mycology,Mikoloji
Mycobacteriology,Mikobakteriyoloji
MySpace,MySpace
MySQLi,MySQLi
MySQL,MySQL
MyMediaInfo,MyMediaInfo
MyEmma,MyEmma
MyEclipse,MyEclipse
MyChart,MyChart
Mutual Funds,Yatırım Fonu
Musical Theatre,Müzikal Tiyatro
Music Theory,Müzik Teorisi
Music Supervision,Müzik Yöneticiliği
Music Publishing,Müzik Yayıncılığı
NOC,NOC
NMock,NMock
NMT,NMT
NMS,NMS
NMR,NMR
NMLS Licensed,NMLS Lisanslı
NMLS,NMLS
NLTK,NLTK
NLS,NLS
NLRB,NLRB
NLP,NLP
NIST 800-53,NIST 800-53
NISPOM,NISPOM
NISA,NISA
NIS,NIS
NIOSH,NIOSH
NIO,NIO
NIMS,NIMS
NIH,NIH
NIEM,NIEM
NIDS,NIDS
NICET,NICET
NICE,NICE
NI Multisim,NI Multisim
NHibernate,NHibernate
NHS Commissioning,NHS Komisyonculuk
NHRA,NHRA
NHPA,NHPA
NHL,NHL
NGS,NGS
NGOs,NGOlar
NGOSS,NGOSS
NGL,NGL
NGERS,NGERS
NG-SDH,NG-SDH
NFPA 20,NFPA 20
NFPA,NFPA
NFL,NFL
NFC,NFC
NEi Nastran,NEi Nastran
NERC,NERC
NEPA,NEPA
NEO,NEO
NEMA,NEMA
NEFT,NEFT
NEC3,NEC3
NEBU,NEBU
NEBS,NEBS
NDS,NDS
NDMP,NDMP
NDM,NDM
NDK,NDK
NDF,NDF
NDDS,NDDS
NDA,NDA
NCover,NCover
NCV,NCV
NCPDP,NCPDP
Nanotechnology,Nanoteknoloji
Nanoscience,Nanobilim
Nanophotonics,Nanofotonik
SCCS,SCCS
Nanomedicine,Nanotıp
Nanomaterials,Nanomalzemeler
Nanofabrication,Nanofabrikasyon
Nanoelectronics,Nanoelektronik
Nanodrop,Nanodrop
Nannies,Dadıcılık
Naming Rights,İsim Hakları
Naming Conventions,İsimlendirme Kuralları
Name Tags,İsim Etiketleri
Name Change,İsim Değişikliği
Nails,Tırnak Bakımı
Nail Care,Tırnak
NYS Notary Public,NYS Noteri
NYMEX,NYMEX
NXP,NXP
NX-OS,NX-OS
NX Unigraphics,NX Unigraphics
NWDS,NWDS
NVivo,NVivo
NVR,NVR
NVQs,NVQs
NVMe Over Fabrics (NVMeOF),NVMe Over Fabrics (NVMeOF)
NVH,NVH
NV Access NVDA,NV Access NVDA
NUnit,NUnit
NTSC,NTSC
NTP,NTP
NTLM,NTLM
NTFS,NTFS
NT 4.0,NT 4.0
NSR,NSR
NSOM,NSOM
NSN,NSN
NSLDS,NSLDS
NSI,NSI
NSF,NSF
NSAIDs,NSAİler
NSA,NSA
NS2,NS2
NS-2,NS-2
NRSWA,NRSWA
NRP,NRP
NREMT,NREMT
NRC,NRC
NRA,NRA
NQA-1,NQA-1
NPR Report Writing,NPR Rapor Yazımı
NPO,NPO
NPI Management,NPI Yönetimi
NPDES,NPDES
NOx,NOx
NOR Flash,NOR Flash
Legislative Research,Yasama Araştırması
Neo-Soul,Neo-Soul
Nemo,Nemo
Neighborhood Planning,Mahalle Planlaması
Neighborhood Development,Mahalle Kalkınması
Negotiating Leases,Kiralama Müzakeresi
Neglected Tropical Diseases,İhmal Edilmiş Tropikal Hastalıklar
Needs Assessment,İhtiyaç Değerlendirmesi
Needlework,İğne İşleri
Needfinding,İhtiyaç Belirleme
NeeS,NeeS
Ned Graphics,Ned Graphics
Neck Pain,Boyun Ağrısı
Neck,Boyun
Necho,Necho
Nearshore,Yakın Kıyı
Near East,Yakın Doğu
NeXpose,NeXpose
Navy,Deniz Kuvvetleri
Navigators,Navigatörlük
Navigation Systems,Navigasyon Sistemleri
Navigation,Navigasyon
Naviance,Naviance
Naval Operations,Deniz Operasyonları
Naval Aviation,Deniz Havacılığı
Naturopathy,Naturopati
Naturalization,Vatandaşlık
Natural Stone,Doğal Taş
Natural Resources,Doğal Kaynaklar
Natural Resource Management,Doğal Kaynak Yönetimi
Natural Language Processing (NLP),Doğal Dil İşleme (NLP)
Natural Language Processing,Doğal Dil İşleme
Natural Horsemanship,Doğal At Biniciliği
Natural Health,Doğal Sağlık
Natural Hazards,Doğal Tehlikeler
Natural Gas Trading,Doğal Gaz Ticareti
Natural Gas,Doğal Gaz
Native Plants,Yerli Bitkiler
Native Instruments FM8,Native Instruments FM8
National Security,Ulusal Güvenlik
National Honor Society,Ulusal Onur Cemiyeti
National CPC,National CPC
National Board Certified Teacher,Ulusal Kurul Sertifikalı Öğretmen
National Association of Realtors,Ulusal Emlakçılar Birliği
National Association of Professional Women,Ulusal Profesyonel Kadınlar Birliği
National Accounts,Ulusal Hesaplar
Nastran,Nastran
Narrowcasting,Dar Kitleli Yayıncılık
Narrator,Anlatıcı
Narrative Journalism,Anlatı Gazeteciliği
Narrative Illustration,Anlatı İllüstrasyonu
New Hire Training,Yeni Çalışan Eğitimi
New Hire Processes,Yeni Çalışan İşlemleri
New Hire Paperwork,Yeni Çalışan Evrak İşlemleri
New Business Set-up,Yeni İş Kurulumu
New Business Opportunities,Yeni İş Fırsatları
New Business Generation,Yeni İş Nesli
New Baby,Yeni Bebek
Neverfail,Neverfail
Neve,Neve
Neuroscience,Sinirbilim
Neuroradiology,Nöro Radyoloji
Neuropsychology,Nöropsikoloji
Neuropharmacology,Nöro Farmakoloji
Neuromyotonia,Nöromyotoni
Neuromuscular Therapy,Nöromüsküler Terapi
Neurology,Nöroloji
Neurological Disorders,Nörolojik Bozukluklar
Neuroimaging,Nörogörüntüleme
Neurodegeneration,Nörodejenerasyon
Neuroanatomy,Nöroanatomi
Neural Networks,Sinir Ağları
Neural Machine Translation (NMT),Neural Machine Translation (NMT)
Networking,Ağ İşlemleri
Network-Attached Storage (NAS),Network-Attached Storage (NAS)
Network Topology,Ağ Topolojisi
Network Time Protocol (NTP),Network Time Protocol (NTP)
Network Switches,Ağ Anahtarları
Network Security,Ağ Güvenliği
Network Optimization,Ağ Optimizasyonu
Network Monitoring Tools,Ağ İzleme Araçları
Network Load Balancing,Ağ Yük Dengeleme
Network Hardware,Ağ Donanımı
Network Function Virtualization,Network Function Virtualization
Network Engineering,Ağ Mühendisliği
Network Design,Ağ Tasarımı
Network Deployment,Ağ Kurulumu
Network Architecture,Ağ Mimari
NetBeans,NetBeans
NetApp Filers,NetApp Filers
NetApp,NetApp
Net Zero Energy Buildings (NZEB),Net Sıfır Enerjili Binalar (NZEB)
Net Promoter Score,Net Promoter Skor
Net Present Value (NPV),Net Present Value (NPV)
Nessus,Nessus
Nero,Nero
Nepali,Nepali
Neonatology,Yenidoğan Bilimi
Neonatal Resuscitation Program (NRP),Neonatal Resuscitation Program (NRP)
Neon Signs,Neon Tabelalar
Neo4j,Neo4j
Legal Translation,Hukuki Çeviri
Node.js,Node.js
Nod32,Nod32
NoSQL,NoSQL
Nmap,Nmap
Nitrox,Nitrox
Nitrous Oxide,Azot Oksit
Nitrogen,Azot
Nitinol,Nitinol
Nissan,Nissan
Nintex,Nintex
Nintendo DS,Nintendo DS
Ninject,Ninject
Ning,Ning
Nimble,Nimble
Niku Clarity,Niku Clarity
Niku,Niku
Nikon DSLR,Nikon DSLR
Nikon,Nikon
Nightclub,Gece Kulübü
Night Vision,Gece Görüşü
Night Photography,Gece Fotoğrafçılığı
Night Diver,Gece Dalışçısı
Nielsen Data,Nielsen Verileri
Nielsen AdRelevance,Nielsen AdRelevance
Nielsen,Nielsen
Niche Talent Acquisition,Niş Yetenek Edinimi
Nia,Nia
Nginx,Nginx
Nexus 7k,Nexus 7k
Nexus,Nexus
Nextone,Nextone
Next-Generation Sequencing (NGS),Next-Generation Sequencing (NGS)
Next Gen,Next Gen
Nexsan,Nexsan
NexGen,NexGen
Newspapers,Gazeteler
Newsletter Production,Bülten Üretimi
News Writing,Haber Yazımı
News Anchoring,Haber Sunuculuğu
New Ventures,Yeni Girişimler
New Urbanism,Yeni Kentçilik
New Store Set Up,Yeni Mağaza Kurulumu
New Store Development,Yeni Mağaza Gelişimi
New Restaurant Openings,Yeni Restoran Açılışları
New Product Roll Out,Yeni Ürün Kullanıma Sunma
New Product Ideas,Yeni Ürün Fikirleri
New Media Initiatives,Yeni Medya Girişimleri
New Media,Yeni Medya
New Item Introduction,Yeni Ürün Tanıtımı
New Homes,Yeni Evler
New Home Sales,Yeni Ev Satışları
New Home Purchase,Yeni Ev Satın Alımı
New Hires,Yeni Çalışanlar
Legal Process Outsourcing,Hukuki İşlem Dış Kaynak Kullanımı
Novell Server,Novell Server
Novell Identity Manager,Novell Identity Manager
Novell Certified,Novell Sertifikalı
Novell,Novell
Notifier,Notifier
Notepad++,Notepad++
Note Taking,Not Alma
Notary Public,Noter
Notary,Noter
Nostro Reconciliation,Nostro Mutabakatı
Nose,Burun
Norwegian,Norveççe
Norton Utilities,Norton Utilities
Northern Blotting,Kuzey Blotlama
North Sea,Kuzey Denizi
North Africa,Kuzey Afrika
Nortel Meridian,Nortel Meridian
Nortel DMS,Nortel DMS
Norkom,Norkom
Nordics,İskandinavlar
Nordic Walking,İskandinav Yürüyüşü
Nordic,İskandinav
Nook,Nook
Nonprofits,Kar Amacı Gütmeyen Kuruluşlar
Nonprofit Volunteering,Kar Amacı Gütmeyen Gönüllülük
Nonprofit Organizations,Kar Amacı Gütmeyen Kuruluşlar
Nonprofit Board Development,Kar Amacı Güden Kuruluş Yönetimi
Non-profits Organizations,Kar Amacı Güden Kuruluşlar
Non-profit Volunteering,Kar Amacı Güden Kuruluşlarda Gönüllülük
Non-profit Program Development,Kar Amacı Güden Kuruluşlarda Program Geliştirme
Non-profit Management,Kar Amacı Güden Kuruluş Yönetimi
